Index,Value
1,17.2295604
2,18.86286086
3,22.10660916
4,20.34317271
5,42.31264902
6,25.8205763
7,18.414105
8,20.34649474
9,21.94089558
10,21.29394188
11,22.39554295
12,22.39805575
13,26.69307004
14,19.87572175
15,16.73891421
16,16.08649209
17,22.16448119
18,20.8413674
19,18.98891486
20,18.50224649
21,20.09286905
22,21.60340814
23,17.61338842
24,20.2410012
25,20.19028432
26,10.97335752
27,18.59875957
28,19.2927548
29,22.92002637
30,20.801476
31,18.81468756
32,18.02019679
33,24.10008547
34,21.61994415
35,16.89897105
36,13.81548718
37,20.99336878
38,21.77275475
39,8.604239269
40,19.06038127
