id,measurement
1,100.2
2,99.8
3,100.5
4,99.6
5,100.1
6,99.9
7,100.3
8,100.0
9,99.7
10,100.4
11,100.0
12,99.5
13,100.2
14,99.9
15,100.6
16,99.8
17,100.1
18,100.3
19,99.6
20,100.0
21,100.4
22,99.7
23,100.2
24,99.8
25,100.0
26,100.5
27,99.6
28,100.1
29,99.9
30,100.3
31,99.7
32,100.0
33,100.4
34,99.8
35,100.2
36,99.6
37,100.1
38,100.3
39,99.9
40,100.0
41,99.8
42,100.5
43,99.7
44,100.1
45,100.2
46,99.6
47,100.0
48,100.4
49,99.9
50,100.3
51,140.7
52,99.8
53,100.1
54,100.0
55,99.7
56,100.2
57,55.2
58,100.4
59,99.9
60,100.0
61,100.3
62,99.6
63,100.1
64,99.8
65,100.5
66,100.0
67,99.7
68,100.2
69,99.9
70,100.3
71,100.0
72,99.8
73,100.1
74,131.4
75,99.9
76,100.2
77,100.4
78,99.7
79,100.0
80,100.3
81,99.6
82,100.1
83,99.8
84,100.5
85,100.0
86,42.8
87,100.2
88,99.9
89,100.3
90,99.7
91,100.0
92,100.4
93,99.8
94,100.1
95,100.2
96,99.6
97,100.0
98,100.5
99,99.7
100,100.3
